filename	commit	completion_date	machine	usertime	time_scale_years	logistic_scale	radi_prior_sd	series_chunk_size
iterative_MAP.0.tsv.gz	e4da7fdb05d5ccaddfcf9da17fdcfead819cc856	2019-08-09	t3.medium	48:36:50	2.0	1.0	10.0	NULL
iterative_MAP.1.tsv.gz	a44c8d5d440ada9c47a881565dfcae0e4b8193e0	2019-08-09	t3.medium	36:00:00	2.0	1.0	10.0	1
newton_predictions.5-chunks.tsv.*.gz	89ccd265e36a356d25d01734bbb9f4f22265a60a	2019-08-09	mac	8:20:00	2.0	1.0	10.0	5
